status,mode,batch_size,n,avg_ms,logical_gbps,total_count,csv,returncode,elapsed_s,error
PASS,v2,3,1048576,0.0666154,331.273,1584800,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.232,
PASS,v3,3,1048576,0.0310544,710.619,1584800,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.229,
PASS,v4,3,1048576,0.0310872,709.869,1584800,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.232,
PASS,library_cub_device_select,7,32,0.00356,0.444944,109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n32_t0_p0.5_v4_flow_latest.csv,0,0.188,
PASS,v2,7,32,0.0085192,0.185933,109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n32_t0_p0.5_v4_flow_latest.csv,0,0.190,
PASS,v3,7,32,0.00851024,0.186129,109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n32_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v4,7,32,0.00851552,0.186013,109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n32_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,library_cub_device_select,7,256,0.00371616,3.36799,882,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n256_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v2,7,256,0.00851984,1.46904,882,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n256_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v3,7,256,0.00851712,1.46951,882,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n256_t0_p0.5_v4_flow_latest.csv,0,0.200,
FAIL,v4,7,256,,,,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n256_t0_p0.5_v4_flow_latest.csv,1,0.205,"CUDA_CHECK failed at /home/silenceduke/vscode-project/compact_kernel_lab/benchmark/benchmark_compact.cu:90: an illegal memory access was encountered (700)
"
PASS,library_cub_device_select,7,512,0.00357184,7.00367,1767,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n512_t0_p0.5_v4_flow_latest.csv,0,0.183,
PASS,v2,7,512,0.00847552,2.95156,1767,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n512_t0_p0.5_v4_flow_latest.csv,0,0.191,
PASS,v3,7,512,0.00851488,2.93792,1767,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n512_t0_p0.5_v4_flow_latest.csv,0,0.200,
FAIL,v4,7,512,,,,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n512_t0_p0.5_v4_flow_latest.csv,1,0.220,"CUDA_CHECK failed at /home/silenceduke/vscode-project/compact_kernel_lab/benchmark/benchmark_compact.cu:90: an illegal memory access was encountered (700)
"
PASS,library_cub_device_select,7,1024,0.00372448,13.4966,3600,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n1024_t0_p0.5_v4_flow_latest.csv,0,0.181,
PASS,v2,7,1024,0.00849776,5.91544,3600,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n1024_t0_p0.5_v4_flow_latest.csv,0,0.185,
PASS,v3,7,1024,0.0085352,5.88949,3600,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n1024_t0_p0.5_v4_flow_latest.csv,0,0.192,
PASS,v4,7,1024,0.00852544,5.89623,3600,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n1024_t0_p0.5_v4_flow_latest.csv,0,0.206,
PASS,library_cub_device_select,7,8192,0.0198419,20.2936,28979,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n8192_t0_p0.5_v4_flow_latest.csv,0,0.195,
PASS,v2,7,8192,0.00854512,47.1221,28979,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n8192_t0_p0.5_v4_flow_latest.csv,0,0.202,
PASS,v3,7,8192,0.0085136,47.2966,28979,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n8192_t0_p0.5_v4_flow_latest.csv,0,0.180,
PASS,v4,7,8192,0.008512,47.3055,28979,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n8192_t0_p0.5_v4_flow_latest.csv,0,0.183,
PASS,library_cub_device_select,7,131072,0.0201003,320.334,462817,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n131072_t0_p0.5_v4_flow_latest.csv,0,0.210,
PASS,v2,7,131072,0.026976,238.687,462817,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n131072_t0_p0.5_v4_flow_latest.csv,0,0.209,
PASS,v3,7,131072,0.0187621,343.182,462817,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n131072_t0_p0.5_v4_flow_latest.csv,0,0.202,
PASS,v4,7,131072,0.0187746,342.954,462817,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n131072_t0_p0.5_v4_flow_latest.csv,0,0.215,
PASS,library_cub_device_select,7,1048576,0.050991,1009.87,3698574,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.277,
PASS,v2,7,1048576,0.137535,374.41,3698574,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b7_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.283,
PASS,v3,7,1048576,0.0556027,926.114,3698574,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b7_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.276,
PASS,v4,7,1048576,0.0576939,892.546,3698574,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b7_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.246,
PASS,library_cub_device_select,8,32,0.00347872,0.515132,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n32_t0_p0.5_v4_flow_latest.csv,0,0.181,
PASS,v2,8,32,0.00851712,0.2104,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n32_t0_p0.5_v4_flow_latest.csv,0,0.183,
PASS,v3,8,32,0.00853872,0.209868,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n32_t0_p0.5_v4_flow_latest.csv,0,0.190,
PASS,v4,8,32,0.00852016,0.210325,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b8_n32_t0_p0.5_v4_flow_latest.csv,0,0.184,
PASS,library_cub_device_select,8,256,0.00359408,3.98099,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n256_t0_p0.5_v4_flow_latest.csv,0,0.195,
PASS,v2,8,256,0.00851088,1.68114,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n256_t0_p0.5_v4_flow_latest.csv,0,0.201,
PASS,v3,8,256,0.00852208,1.67893,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n256_t0_p0.5_v4_flow_latest.csv,0,0.221,
FAIL,v4,8,256,,,,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b8_n256_t0_p0.5_v4_flow_latest.csv,1,0.209,"CUDA_CHECK failed at /home/silenceduke/vscode-project/compact_kernel_lab/benchmark/benchmark_compact.cu:90: an illegal memory access was encountered (700)
"
PASS,library_cub_device_select,8,512,0.00357936,7.99584,2027,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n512_t0_p0.5_v4_flow_latest.csv,0,0.210,
PASS,v2,8,512,0.00861776,3.32105,2027,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n512_t0_p0.5_v4_flow_latest.csv,0,0.248,
PASS,v3,8,512,0.00851392,3.36155,2027,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n512_t0_p0.5_v4_flow_latest.csv,0,0.182,
FAIL,v4,8,512,,,,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b8_n512_t0_p0.5_v4_flow_latest.csv,1,0.229,"CUDA_CHECK failed at /home/silenceduke/vscode-project/compact_kernel_lab/benchmark/benchmark_compact.cu:90: an illegal memory access was encountered (700)
"
